time,ego_x,ego_y,ego_heading,ego_speed,ego_accel,preceding_x,preceding_y,control_throttle,control_brake,control_steer,mpc_accel_cmd,mpc_steer_cmd
0.1,0.0,4.440892098500626e-16,0.0,0.9800000786781311,-0.0,19.973048253300675,-1.666984803749827e-06,1.0,0.0,-0.05793531611561775,3.000000029992358,-0.07078133295545191
0.2,0.004355825430934601,-4.420463994847523e-12,0.0,1.960000276565552,3.0,19.977404106078737,-1.666989224657911e-06,1.0,0.0,-0.08196337521076202,3.0000000299914973,-0.10013714355536946
0.30000000000000004,0.011349834141952897,3.086172303712331e-05,2.5033714246891492e-05,2.602760594981325,3.0,19.98484295744187,0.000192325181020081,1.0,0.0,0.07502231746912003,3.000000029981927,0.09165704044500783
0.4,0.017533113244468268,4.136097318330201e-05,2.8762139772986473e-05,0.289806842127431,3.0,19.99016679352536,0.00025663353144622647,1.0,0.0,0.07764085382223129,3.000000029991328,0.09485618528399534
0.5,0.01728971320218875,5.896138647276672e-05,2.929477199087316e-05,0.17647658675683459,3.0,19.98996982283053,0.00019621629462229784,1.0,0.0,0.07550737261772156,3.000000029991538,0.09224964567188772
0.6,0.0709133177451804,0.002198586023185012,0.0017800568726089594,1.2793152852702319,3.0,19.989012900259183,9.619144237160704e-05,1.0,0.0,-0.09272933751344681,3.000000029988804,-0.11329024925938544
0.7,0.2650238432843537,-0.002739933047737342,-0.002472478756029517,2.453683050268003,3.0,19.9882594936134,1.5018910165531807e-05,1.0,0.0,0.08744416385889053,3.0000000299884175,0.10683319155812573
0.7999999999999999,0.5575722048266982,0.0004386783732313049,0.001532915523449585,3.311854205962141,3.0,19.990481426404386,-5.2915785884399824e-05,1.0,0.0,-0.07470209151506424,3.000000029974337,-0.09126581540359324
0.8999999999999999,0.9281552443311796,-0.0025807757562619216,-0.0022767364159088643,4.038764701590528,3.0,20.108005144104993,-0.00015829368553199608,1.0,0.0,0.06638617068529129,3.0000000299672265,0.0811060018361001
0.9999999999999999,1.3681358650134712,0.0004199152767130343,0.0017949705747133393,4.714017079376832,3.0,20.33760387211747,-0.00029106894361330404,1.0,0.0,-0.05513710901141167,3.00000002994158,-0.06736268123602258
1.0999999999999999,1.8745470695417055,-0.002227768018898235,-0.001870338033562291,5.3708668792041605,3.0,20.595226381958398,-0.00047302820660055644,1.0,0.0,0.04541967809200287,3.0000000299063685,0.05549059692219369
1.2,2.428648380763434,-0.001739482890400712,0.00019867181731969552,5.653144366515598,3.0,20.84786316126997,-0.0005483290729588752,1.0,0.0,-0.03921356797218323,3.000000029882462,-0.04790840700621174
1.3,3.0237990152683665,-0.004618441517533434,-0.0019920444953793748,6.32883398336648,3.0,21.097491737985266,-0.0007507670742499251,1.0,0.0,0.033423151820898056,3.000000029787551,0.04083407878613938
1.4000000000000001,3.69138629741704,-0.0040053274069165035,0.0005454153912483051,6.953608949842791,3.0,21.34538334338218,-0.000928716708507249,1.0,0.0,0.021776637062430382,3.000000029601593,0.02660517885973657
1.5000000000000002,4.414730468574604,0.004051329051228514,0.006486128834887861,7.518050951693655,3.0,21.592266745465565,-0.0009528621432863815,1.0,0.0,-0.02718120627105236,3.000000029219879,-0.03320810472651975
1.6000000000000003,5.202567088146182,0.006338775620346571,0.004048271173029416,8.203892596943547,3.0,21.837991276953147,-0.0008713969084090945,0.898297131061554,0.0,-0.01900867559015751,2.6948914463778695,-0.0232234761965157
1.7000000000000004,6.060785579497036,0.0019856400712554567,-0.0018466358998612264,8.910459550220132,2.694891393184662,22.08245349762761,-0.0007620320917942625,0.5212386846542358,0.0,0.012593925930559635,1.5637160459438584,0.015386381232222
1.8000000000000005,6.981701902290382,-0.00023991276723567267,-0.0018146779667800317,9.408519059596784,1.5637160539627075,22.32621576938851,-0.0012461825971270546,0.48601019382476807,0.0,0.014396979473531246,1.4580305954001778,0.017589226447013828
1.9000000000000006,7.935021658337163,0.003794182759274012,0.0020703414314278135,9.638816905652167,1.4580305814743042,22.56948051787667,-0.0007766551969485835,0.37993794679641724,0.0,-0.01693326234817505,1.1398138648575888,-0.02068788097767685
2.0000000000000004,8.902654674192732,0.0034310482157833277,0.0009406284970161494,9.736590991421577,1.1398138403892517,22.812444490174542,-0.0009932324179051655,0.4108651280403137,0.0,-0.02370341680943966,1.2325954207981056,-0.028959184361642923
2.1000000000000005,9.874326538271077,-0.004016003240578492,-0.005270928429484734,9.753941190159404,1.2325953841209412,23.055571297576023,-0.0008107150796663465,0.39568695425987244,0.0,0.041498564183712006,1.187060893785334,0.050700056273790164
2.2000000000000006,10.846596700862733,-0.0029167013925195384,-0.0012876383870530361,9.748897718526088,1.1870608627796173,23.29812504559743,-0.0008690392721102391,0.4281747043132782,0.0,-0.05336710810661316,1.2845241497141215,-0.06520021369590466
2.3000000000000007,11.818735106017343,-0.009622343174371384,-0.005203816770015024,9.724071095489021,1.2845241129398346,23.538812011634818,-0.0015577355334148724,0.44113636016845703,0.0,0.09331970661878586,1.323409105449545,0.11401151927404284
2.400000000000001,12.788128597767027,-0.007773661035438639,0.0012213256759103785,9.690689345092974,1.323409080505371,23.781034692454767,-0.0015848873338144553,1.0,0.0,0.6428571939468384,3.000000028114738,0.7853981733938625
2.500000000000001,13.749841614772762,0.04634149638269891,0.04627215762401793,9.625757254687317,3.0,24.02477264069148,-0.0017433614109028106,1.0,0.0,0.6428571939468384,3.0000000297544154,0.785398173393814
