time,ego_x,ego_y,ego_heading,ego_speed,ego_accel,preceding_x,preceding_y,control_throttle,control_brake,control_steer,target_waypoint_x,target_waypoint_y,pid_steer_cmd,pid_accel_cmd
0.1,0.0,4.440892098500626e-16,0.0,0.9800000786781311,-0.0,19.977404106078737,-1.666989224657911e-06,1.0,0.0,0.5120277404785156,1.0115573436453644,-2.968231469502314e-07,0.20481109619140625,8.68190376341343
0.2,0.004355825430934601,-4.420463994847523e-12,0.0,1.960000276565552,3.0,19.98484295744187,0.000192325181020081,0.5336548686027527,0.0,0.2986764907836914,2.010349283308699,1.0530100782446539e-06,0.11947059631347656,1.6009646785259248
0.30000000000000004,0.011393356026928814,-0.00010055390980623358,-8.282430990114165e-05,2.6026764295047458,1.600964605808258,19.99016679352536,0.00025663353144622647,0.5417856574058533,0.0,0.34235477447509766,3.009122148299383,1.01662729834473e-06,0.13694190979003906,1.6253570092631373
0.4,0.017546806808041993,-4.8531782384841904e-05,-8.282430990114165e-05,0.28982418906961077,1.6253569722175598,19.98996982283053,0.00019621629462229784,1.0,0.0,0.38321495056152344,4.007929401875657,5.896033923313837e-07,0.15328598022460938,5.335458036217523
0.5,0.01731890699284122,-1.97493716340702e-05,-8.14927293557588e-05,0.17649751048524476,3.0,19.989012943876332,9.714497777690845e-05,1.0,0.0,0.25573253631591797,4.007929401875657,5.896033923313837e-07,0.10229301452636719,3.2075561692155774
0.6,0.016164619600886,1.4245683053193403e-05,-8.04274649208736e-05,0.18426189775472332,3.0,19.988259526153442,1.692598097791098e-05,1.0,0.0,0.2556943893432617,4.007929401875657,5.896033923313837e-07,0.10227775573730469,3.0951807910957734
0.7,0.06716456954720229,0.006637202990829483,0.005334045347319627,1.2454690352700262,3.0,20.027945101367223,-6.154549230541484e-05,0.6228679418563843,0.0,0.35153627395629883,5.0067481139044645,1.6257947699216402e-07,0.14061450958251953,1.8686038165170598
0.7999999999999999,0.25343870803089885,0.03949504512110691,0.02844575623535439,2.325919766144143,1.8686038255691528,20.196683223816976,-0.00016362316530549315,0.3787633180618286,0.0,-0.08061408996582031,5.0067481139044645,1.6257947699216402e-07,-0.03224563598632811,1.1362899445187433
0.8999999999999999,0.5105208243346055,0.06995518499257569,0.04187421339986086,2.7689036195957364,1.1362899541854858,20.443926324524995,-0.000273641111863121,0.497978150844574,0.0,-0.15882253646850586,5.0067481139044645,1.6257947699216402e-07,-0.06352901458740233,1.4939344594719688
0.9999999999999999,0.8006526521081412,0.06482942981808604,0.028162662211479006,3.0332650050662036,1.493934452533722,20.74345505926594,-0.00046563869578153394,0.5086999535560608,0.0,0.10421991348266602,5.0067481139044645,1.6257947699216402e-07,0.041687965393066406,1.5260999465975693
1.0999999999999999,1.1162883058969442,0.07131694524646237,0.028496622612174782,3.273216556415943,1.5260998606681824,21.062194104099987,-0.0003544041632368433,0.5472804307937622,0.0,0.15483617782592773,6.00557831173289,-2.6444445211382117e-07,0.061934471130371094,1.6418413163619276
1.2,1.4547219755778258,0.10516726111858565,0.045944588809938125,3.5321611473844508,1.6418412923812866,21.370176065066943,-0.0006111444522440834,0.4334671199321747,0.0,-0.2803492546081543,6.00557831173289,-2.6444445211382117e-07,-0.1121397018432617,1.3004013172594417
1.3,1.8186794409605795,0.12473879532221854,0.04519171316977255,3.733235406475066,1.300401359796524,21.658513305444885,-0.0005710283346516132,0.4177344739437103,0.0,-0.24101495742797852,6.00557831173289,-2.6444445211382117e-07,-0.09640598297119139,1.2532034393490024
1.4000000000000001,2.1974564718144904,0.10147219829909293,0.015661784054647132,3.885861828769016,1.253203421831131,21.928732672071277,-0.0002892254683795059,0.47706180810928345,0.0,0.2909708023071289,7.004419995360976,-6.91468393210215e-07,0.11638832092285156,1.4311854392257164
1.5000000000000002,2.5931022270553967,0.09032454267786649,0.00689998406828618,4.0273601340874805,1.4311854243278503,22.1883698310925,-0.0005162222921146764,0.39008572697639465,0.0,0.08089065551757812,7.004419995360976,-6.91468393210215e-07,0.03235626220703125,1.1702572200009689
1.6000000000000003,3.004134590812072,0.11085236382773411,0.019854132242649758,4.195060889364857,1.170257180929184,22.455292279281963,-0.0004785307582626519,0.35470864176750183,0.0,-0.22748470306396484,7.004419995360976,-6.91468393210215e-07,-0.09099388122558594,1.0641259349287537
1.7000000000000004,3.426901498232098,0.1106278386500481,0.01130352093073217,4.258533034434101,1.0641259253025055,22.747367755111114,-0.0003802970377373427,0.44422879815101624,0.0,0.07980108261108398,8.003273137441525,-1.1184923454088391e-06,0.031920433044433594,1.3326864032831558
1.8000000000000005,3.8571950064662133,0.10198704934315606,0.003837881446913105,4.361832599101708,1.3326863944530487,23.045520271192032,-0.00037578743105415313,0.3481805920600891,0.0,0.017163753509521484,8.003273137441525,-1.1184923454088391e-06,0.006865501403808594,1.0445417970324862
1.9000000000000006,4.299587592786892,0.1096261580718938,0.008091482339987799,4.481991989391312,1.0445417761802673,23.32815575797636,-0.0004608358529853973,0.4632319211959839,0.0,-1.0,9.002137792668918,-1.5455163073774258e-06,-1.321014404296875,1.3896957949927589
2.0000000000000004,4.749748718580037,0.09332339669232548,-0.008095210765514338,4.5407044979399105,1.3896957635879517,23.594049351413275,-0.0008703278527852909,0.33709800243377686,0.0,-0.7339191436767578,9.002137792668918,-1.5455163073774258e-06,-0.2935676574707031,1.0112940345174812
