time,ego_x,ego_y,ego_heading,ego_speed,ego_accel,preceding_x,preceding_y,control_throttle,control_brake,control_steer,target_waypoint_x,target_waypoint_y,lqr_delta_cmd,lqr_accel_cmd
5.899999999999995,26.752046537797725,-3.450413218871774,-0.4319607340692171,5.388540486645017,-1.2000000178813934,34.301705151628326,-0.03605683228819134,0.0,0.4000000059604645,1.0,29.98033934580063,-3.500006398911066,0.4,-2.0
5.999999999999995,27.19772465634965,-3.571734918781006,-0.3528933455175274,3.803928296829506,-1.2000000178813934,34.56443810062336,-0.03812648183303824,0.0,0.4000000059604645,1.0,29.98033934580063,-3.500006398911066,0.4,-2.0
6.099999999999994,27.458974731463087,-3.594895184369074,-0.27168264492054206,1.876535876141546,-1.2000000178813934,34.83012740896925,-0.04130152488171257,0.0,0.4000000059604645,1.0,29.98033934580063,-3.500006398911066,0.4,-2.0
6.199999999999994,27.538172432546915,-3.5776545467961416,-0.23790603913117625,0.017106048849613798,-1.2000000178813934,35.11290617773858,-0.0438547597101413,0.0,0.4000000059604645,1.0,29.98033934580063,-3.500006398911066,0.4,-2.0
6.299999999999994,27.538470067640347,-3.5778674958491283,-0.23793000758098692,0.003091705585217208,-1.2000000178813934,35.40011886511816,-0.046480918308518415,0.6666666865348816,0.0,1.0,29.98033934580063,-3.500006398911066,0.4,2.0
6.399999999999993,27.54070967172362,-3.5771159909347983,-0.23675874933357033,0.05978647402715348,2.0000000596046448,35.674628956361786,-0.04908275502677428,0.6666666865348816,0.0,1.0,29.98033934580063,-3.500006398911066,0.4,2.0
6.499999999999993,27.55763033102302,-3.5724414347560756,-0.22968059978835775,0.3239848385728606,2.0000000596046448,35.93740849158969,-0.051552847402645874,0.6666666865348816,0.0,1.0,29.98033934580063,-3.500006398911066,0.4,2.0
6.5999999999999925,27.599054115540255,-3.558794271543436,-0.21236446006455356,0.5999930794749484,2.0000000596046448,36.203162439314696,-0.054062280698500276,0.6666666865348816,0.0,1.0,29.98033934580063,-3.500006398911066,0.4,2.0
6.699999999999992,27.66854742827121,-3.532502392235905,-0.18312241866326495,0.9332311341031727,2.0000000596046448,36.48595439727704,-0.05673496788008103,0.6666666865348816,0.0,0.9436255097389221,29.98033934580063,-3.500006398911066,0.3774502017253764,2.0
6.799999999999992,27.768589957212072,-3.4938630127078376,-0.1427803218385275,1.278860004992197,2.0000000596046448,36.77309102852527,-0.06024401209012753,0.6666666865348816,0.0,0.6814433336257935,29.98033934580063,-3.500006398911066,0.27257732784584693,2.0
6.8999999999999915,27.91196507652596,-3.4508187051197963,-0.09953404784505793,1.7560935201936518,2.0000000596046448,37.04755132873345,-0.06308345137764215,0.6666666865348816,0.0,0.3968411087989807,29.98033934580063,-3.500006398911066,0.15873644158268665,2.0
6.999999999999991,28.102863827104542,-3.417293797149994,-0.06460589120034133,2.1619297683261234,2.0000000596046448,37.310318987147056,-0.06580419335157006,0.6666666865348816,0.0,0.17404745519161224,30.98970614191522,-3.5009925986769392,0.06961898053443052,2.0
7.099999999999991,28.33878962727593,-3.3988179094019895,-0.04400554122025113,2.5682690675097932,2.0000000596046448,37.5760830171826,-0.06861997194014036,0.6666666865348816,0.0,0.04020169749855995,30.98970614191522,-3.5009925986769392,0.016080679165774506,2.0
7.19999999999999,28.61780766085407,-3.397907506977563,-0.03623070873387402,2.9889102381891175,2.0000000596046448,37.85892322022849,-0.07159107366430906,0.6666666865348816,0.0,-0.0017401810036972165,30.98970614191522,-3.5009925986769392,-0.0006960724160473116,2.0
