Algorithm,RMS_Speed_Error,RMS_Jerk,RMS_Steering_Rate,RMS_Lateral_Deviation,Total_Energy_kWh,Overtaking_Time_s
mpc_results,2.5992972169546498,5.918912160320371,1.0779569602752,1.1270222867528845,0.07061798200074362,12.099999999999971
LQR_results,3.204062047172281,7.058415467366212,2.4234938000361708,2.726550269639732,0.06978414125042595,19.80000000000001
PD_results,2.373150653473406,2.602022222139376,6.196739214538898,2.619599721477127,0.051479477210312055,21.80000000000004
